1; Draft.Scratch_smt_check_7_20704; 2026-04-10 13:43:15.231;
and: 85000,162000,
bind: 248000,217000,307000,202000,
cong: 110000,116000,
trans: 230000,217000,
or_pos: 266000,
implies: 189000,
parsing: 5932000,
subproof: 2296000,
equiv_pos2: 172000,168000,
reordering: 318000,
resolution: 305000,337000,292000,398000,435000,291000,336000,
contraction: 324000,
forall_inst: 1165000,
implies_neg1: 304000,
implies_neg2: 255000,
__local_input: 59000,
__normalized_input: 2617000,741000,892000,
rare_rewrite_eq-symm: 132000,137000,
rare_rewrite_bool-impl-elim: 10792000,20060000,

