1; Draft.Scratch_smt_check_7_5819; 2026-04-10 13:42:42.172;
and: 99000,115000,
bind: 348000,430000,367000,303000,
cong: 214000,154000,253000,244000,
refl: 82000,166000,135000,
symm: 319000,
trans: 372000,340000,366000,461000,380000,261000,
or_neg: 252000,263000,252000,268000,298000,
or_pos: 433000,
and_neg: 276000,
and_pos: 163000,
parsing: 8527000,
aci_simp: 1815000,
qnt_join: 398000,
equiv_pos2: 215000,328000,239000,
not_equiv1: 325000,
not_equiv2: 188000,
reordering: 569000,397000,282000,
resolution: 228000,329000,496000,420000,445000,529000,423000,573000,606000,
contraction: 319000,487000,
forall_inst: 1459000,
miniscope_split: 550000,
__normalized_input: 1357000,914000,1196000,
rare_rewrite_bool-impl-elim: 11848000,12066000,
rare_rewrite_bool-double-not-elim: 163000,

