1; Draft.Scratch_smt_check_7_12801; 2026-04-10 13:43:46.071;
and: 195000,179000,
bind: 349000,318000,343000,284000,
cong: 193000,165000,107000,136000,180000,122000,
trans: 256000,169000,146000,166000,283000,174000,
or_pos: 358000,
implies: 272000,
parsing: 9902000,
subproof: 2780000,
poly_simp: 3753000,3228000,3145000,
equiv_pos2: 238000,101000,219000,
reordering: 409000,
resolution: 332000,378000,357000,264000,363000,541000,632000,379000,379000,
contraction: 460000,
forall_inst: 1403000,1356000,
implies_neg1: 411000,
implies_neg2: 400000,
__local_input: 99000,
poly_simp_rel: 2154000,1861000,1785000,
__normalized_input: 5877000,911000,838000,
rare_rewrite_arith-elim-lt: 13414000,11394000,20658000,
rare_rewrite_bool-impl-elim: 11862000,11435000,
rare_rewrite_bool-double-not-elim: 227000,

