1; Draft.Scratch_smt_check_7_12761; 2026-04-10 13:45:55.565;
and: 77000,84000,
bind: 315000,329000,314000,325000,
cong: 247000,56000,52000,59000,86000,188000,194000,164000,154000,49000,42000,49000,41000,67000,263000,50000,47000,37000,52000,49000,39000,64000,188000,193000,161000,159000,
refl: 36000,62000,105000,17000,33000,38000,23000,205000,
trans: 290000,290000,299000,305000,282000,276000,245000,293000,299000,324000,304000,276000,269000,246000,
or_pos: 301000,
implies: 298000,
parsing: 16793000,
aci_simp: 1121000,1066000,
subproof: 1672000,
equiv_pos2: 213000,44000,48000,435000,
reordering: 434000,
resolution: 344000,324000,305000,161000,181000,503000,596000,374000,315000,
contraction: 422000,
forall_inst: 1515000,
implies_neg1: 790000,
implies_neg2: 411000,
__local_input: 157000,
connective_def: 370000,698000,
__normalized_input: 1227000,975000,916000,838000,1320000,
rare_rewrite_bool-and-de-morgan: 5753000,6240000,6290000,18554000,12068000,12029000,
rare_rewrite_bool-double-not-elim: 289000,288000,

