1; Draft.Scratch_smt_check_7_3034; 2026-04-10 13:48:54.046;
and: 101000,116000,
bind: 255000,186000,264000,192000,
cong: 123000,102000,78000,44000,59000,52000,54000,60000,59000,143000,122000,101000,61000,48000,68000,150000,
refl: 16000,19000,20000,
trans: 133000,
or_neg: 179000,170000,194000,
implies: 169000,
parsing: 5926000,
not_symm: 94000,
subproof: 1060000,
equiv_pos1: 39000,
equiv_pos2: 171000,39000,79000,43000,119000,171000,41000,72000,153000,
reordering: 305000,219000,346000,
resolution: 175000,210000,205000,267000,187000,210000,218000,623000,410000,259000,279000,305000,169000,216000,205000,282000,226000,
contraction: 276000,247000,
forall_inst: 782000,755000,700000,
implies_neg1: 197000,
implies_neg2: 192000,
__local_input: 77000,
__normalized_input: 1307000,772000,807000,870000,599000,
rare_rewrite_eq-symm: 104000,118000,106000,104000,115000,147000,
rare_rewrite_bool-double-not-elim: 108000,

