1; Draft.Scratch_smt_check_7_26722; 2026-04-10 13:49:23.902;
and: 147000,178000,
bind: 221000,214000,
cong: 58000,50000,71000,66000,87000,51000,62000,77000,60000,109000,
refl: 22000,19000,23000,
symm: 138000,119000,229000,
trans: 167000,158000,157000,195000,201000,
equiv1: 176000,
equiv2: 147000,
implies: 176000,
not_not: 169000,
parsing: 2628000,
subproof: 1197000,
equiv_pos2: 124000,48000,59000,69000,112000,
resolution: 200000,262000,206000,257000,212000,268000,277000,269000,330000,333000,260000,308000,
contraction: 284000,
forall_inst: 856000,
implies_neg1: 266000,
implies_neg2: 234000,
__local_input: 189000,
equiv_simplify: 274000,241000,
__normalized_input: 964000,740000,614000,761000,
rare_rewrite_eq-symm: 167000,142000,143000,233000,168000,
rare_rewrite_bool-eq-false: 7613000,8478000,

