1; Draft.Scratch_smt_check_7_17827; 2026-04-10 13:52:14.060;
and: 122000,127000,
bind: 500000,282000,264000,
or_pos: 228000,259000,
implies: 196000,
not_and: 192000,
parsing: 1284000,
subproof: 1455000,
equiv_pos2: 125000,126000,122000,
reordering: 259000,258000,
resolution: 480000,540000,239000,197000,215000,261000,308000,358000,391000,272000,318000,
contraction: 289000,
forall_inst: 759000,766000,
implies_neg1: 259000,
implies_neg2: 241000,
__local_input: 141000,
__normalized_input: 770000,680000,598000,746000,
rare_rewrite_bool-impl-elim: 10242000,6362000,6283000,

