1; Draft.Scratch_smt_check_7_664; 2026-04-10 13:52:13.113;
and: 203000,378000,
bind: 225000,249000,234000,482000,373000,378000,387000,432000,548000,405000,877000,694000,716000,692000,
cong: 139000,617000,92000,54000,116000,55000,379000,208000,183000,164000,140000,236000,55000,81000,1009000,178000,74000,192000,87000,691000,362000,294000,262000,234000,371000,82000,141000,465000,341000,178000,175000,112000,137000,100000,
refl: 38000,88000,99000,34000,298000,32000,28000,89000,93000,88000,105000,91000,159000,165000,58000,477000,56000,41000,164000,154000,148000,152000,160000,115000,
symm: 211000,261000,437000,490000,367000,320000,
false: 13000,
trans: 153000,207000,231000,244000,497000,498000,513000,495000,584000,211000,165000,115000,237000,196000,202000,186000,231000,603000,369000,361000,307000,280000,237000,241000,1025000,930000,936000,956000,1247000,419000,337000,258000,454000,383000,381000,362000,462000,1127000,707000,786000,627000,551000,545000,462000,
equiv2: 473000,485000,
or_pos: 592000,
implies: 314000,
not_not: 403000,
parsing: 15388000,
aci_simp: 928000,957000,1247000,1181000,1178000,963000,1745000,1855000,2392000,2325000,2376000,1889000,
evaluate: 212000,376000,400000,
onepoint: 968000,1732000,
qnt_join: 251000,481000,
subproof: 9834000,
equiv_pos2: 112000,447000,866000,665000,207000,54000,
reordering: 916000,
resolution: 142000,189000,222000,272000,252000,315000,496000,387000,462000,513000,535000,866000,436000,527000,548000,
contraction: 453000,
forall_inst: 1585000,
implies_neg1: 712000,
implies_neg2: 429000,
__local_input: 261000,
qnt_rm_unused: 349000,945000,668000,1526000,
equiv_simplify: 695000,631000,
__normalized_input: 38210000,2527000,866000,727000,735000,
miniscope_distribute: 1280000,2511000,
rare_rewrite_eq-refl: 108000,237000,
rare_rewrite_eq-symm: 230000,224000,120000,121000,123000,113000,240000,273000,289000,235000,525000,
rare_rewrite_or-not-refl: 5685000,11866000,
rare_rewrite_bool-impl-elim: 5999000,11343000,
rare_rewrite_bool-or-and-distrib: 5717000,5714000,5806000,5961000,11074000,10993000,11238000,11291000,

