rule,count,total,mean,min,first_quartile,median,third_quartile,max
rare_rewrite_bool-and-de-morgan,6603,38294755000,5799599.424504014,4266000,4668000,5039000,6174500,9946000
rare_rewrite_bool-impl-elim,6253,37208509000,5950505.1975051975,4382000,4772000,5142000,6479000,10056000
rare_rewrite_arith-elim-lt,1982,10953879000,5526679.616548941,4066000,4492250,4843000,5714500,10457000
rare_rewrite_arith-elim-leq,1405,7522642000,5354193.59430605,4077000,4490000,4797000,5363000,9172000
rare_rewrite_bool-impl-false1,1067,6119484000,5735223.992502343,4133000,4653000,5047000,6155500,10135000
rare_rewrite_or-not-refl,777,4713936000,6066841.6988416985,4511000,4873000,5185000,6506000,10577000
rare_rewrite_bool-eq-false,764,4410530000,5772945.026178011,4248000,4611000,5023000,6377250,10159000
rare_rewrite_eq-symm,14908,3354035000,224982.2243090958,120000,168000,205000,268000,465000
rare_rewrite_bool-or-de-morgan,427,2361003000,5529281.030444965,4053000,4501000,4962000,5936500,10084000
rare_rewrite_ite-not-cond,415,2203021000,5308484.337349397,4002000,4513000,4855000,5476500,10156000
rare_rewrite_bool-eq-true,359,2073923000,5776944.289693593,4333000,4622000,4980000,6205500,9871000
rare_rewrite_ite-eq,278,1658902000,5967273.381294964,4496000,4863750,5341000,6217750,11347000
rare_rewrite_bool-double-not-elim,5419,1305424000,240897.58257981177,125000,173000,219000,293000,513000
rare_rewrite_arith-elim-gt,190,1072893000,5646805.263157895,4341000,4715500,4986000,5431250,9869000
rare_rewrite_arith-geq-tighten,93,469491000,5048290.322580645,3901000,4348000,4709000,5161000,8664000
rare_rewrite_eq-refl,1893,425783000,224924.98679344956,129000,165000,199000,261000,534000
rare_rewrite_bool-not-eq-elim1,78,406312000,5209128.205128205,4024000,4427000,4692000,5367000,8941000
rare_rewrite_bool-implies-de-morgan,67,346707000,5174731.3432835825,4161000,4504500,4780000,5260000,8789000
rare_rewrite_arith-leq-norm,61,293435000,4810409.836065574,4010000,4256000,4677000,5038000,7452000
rare_rewrite_bool-eq-nrefl,14,68760000,4911428.571428572,4205000,4294000,4522500,5335750,6679000
rare_rewrite_arith-geq-norm1-real,10,56764000,5676400,4284000,4506250,4831500,5468750,9537000
rare_rewrite_ite-true-cond,9,46856000,5206222.222222222,4457000,4599000,4703000,4897000,9394000
rare_rewrite_bool-impl-true2,6,29607000,4934500,4714000,4824500,4851000,5063500,5241000
rare_rewrite_ite-else-true,1,28554000,28554000,28554000,28554000,28554000,28554000,28554000
rare_rewrite_ite-then-true,3,24094000,8031333.333333333,5030000,7267500,9505000,9532000,9559000
rare_rewrite_bool-not-eq-elim2,5,23865000,4773000,4192000,4346000,4393000,4860000,6074000
rare_rewrite_ite-false-cond,4,20270000,5067500,4780000,4972750,5043000,5137750,5404000
rare_rewrite_bool-not-ite-elim,2,17470000,8735000,8650000,8692500,8735000,8777500,8820000
rare_rewrite_eq-ite-lift,2,11914000,5957000,5927000,5942000,5957000,5972000,5987000
rare_rewrite_ite-then-false,2,9199000,4599500,4589000,4594250,4599500,4604750,4610000
rare_rewrite_arith-geq-norm1-int,1,8504000,8504000,8504000,8504000,8504000,8504000,8504000
rare_rewrite_bool-or-taut2,1,4685000,4685000,4685000,4685000,4685000,4685000,4685000
rare_rewrite_ite-else-false,1,4674000,4674000,4674000,4674000,4674000,4674000,4674000
rare_rewrite_bool-impl-false2,1,4554000,4554000,4554000,4554000,4554000,4554000,4554000
