rule,count,total,mean,min,first_quartile,median,third_quartile,max
__normalized_input,19281,180121811000,9341933.042891966,548000,1130000,3498000,11855000,52442000
rare_rewrite_bool-and-de-morgan,8724,68399078350,7840334.519715726,5582000,6211000,6765000,8031500,15042649.999999987
rare_rewrite_bool-impl-elim,8311,67454217000,8116257.610395861,5744750,6317000,6825000,8830000,15366000
resolution,117254,54922948100,468410.01671584765,202000,280000,369000,526000,1812675.0000000028
parsing,2938,52309084599.999985,17804317.42682096,69425,1441250,4381500,16260000,173225974.9999997
poly_simp,11832,32621772400,2757080.15551048,1546000,1876000,2362000,3160500,7744150.000000005
trans,71238,26053151000,365719.8545719981,139000,221000,301000,444000,1038000
rare_rewrite_arith-elim-lt,2775,21618173500,7790332.792792792,5541350,6098500,6582000,7955000,16589000.00000002
forall_inst,18194,19626748000,1078748.3785863472,699000,830000,940000,1231000,2087000
cong,111397,18816834000,168916.8828604002,49000,83000,125000,202000,657000
aci_simp,11780,17196254750,1459783.9346349745,953000,1106000,1251000,1681000,2852049.999999999
subproof,9700,16755657150,1727387.3350515463,1069475,1228000,1433000,2055000,4037574.999999999
rare_rewrite_arith-elim-leq,2057,15146062000,7363180.359747205,5515200,6051000,6486000,7302000,13650799.999999996
reordering,18454,14463954550,783784.2500270944,226000,336000,473000,754000,5386024.999999998
bind,33920,14021508000,413369.929245283,188000,269000,347000,497000,1060000
and_pos,15677,11963316800,763112.6363462397,151000,264000,435000,807000,5088400.000000002
contraction,16668,11959695449.999992,717524.3250539952,216675,349000,490000,781000,3539174.999999979
rare_rewrite_bool-impl-false1,1293,10099931000,7811238.205723125,5468600,6253000,6829000,8089000,15154400.000000002
rare_rewrite_or-not-refl,1268,9965534800,7859254.574132492,5652425,6477000,6898500,7871250,16349475.000000004
equiv_pos2,37978,8925890000,235027.91089578177,39000,107000,172000,295000,927000
poly_simp_rel,6700,8730362800,1303039.223880597,964475,1052000,1139000,1333250,2504000
rare_rewrite_bool-eq-false,880,7434635250,8448449.147727273,5568875,6241750,6901500,11491250,15353999.999999998
implies_neg1,9716,6007228500,618282.060518732,187000,313000,439000,698000,2751500
la_generic,477,6002131200,12583084.27672956,4949600,7153000,10752000,15781000,33345999.99999999
implies_neg2,9720,5449708225,560669.570473251,172000,297000,420000,654000,2224074.999999999
or_neg,12336,5355261000,434116.48832684825,183000,254000,344000,506000,1373000
rare_rewrite_eq-symm,20473,4827492000,235797.97782445172,114000,158000,197000,279000,608000
implies,9504,4118540450,433348.1113215488,158000,243000,330000,499000,1620274.999999998
symm,15442,4080670000,264257.8681517938,107000,152000,218000,319000,816000
rare_rewrite_bool-or-de-morgan,536,3889392750,7256329.757462687,5551375,6247500,6728500,7487000,14828250
rare_rewrite_bool-eq-true,462,3643845200,7887110.822510823,5727675,6202500,6656500,7662500,17076425
rare_rewrite_ite-eq,422,3578709275,8480353.732227487,6002525,6604500,7218500,8626750,19438499.999999978
rare_rewrite_ite-not-cond,459,3456813200,7531183.442265796,5599900,6179000,6788000,7663000,14403200
__local_input,20309,2964734000,145981.2890836575,37000,61000,113000,203000,461000
qnt_rm_unused,1849,2824700600,1527690.96809086,273000,469000,968000,1777000,8107800
refl,41308,2777634724.999997,67242.05299215642,18000,28000,41000,71000,397324.9999999971
or_pos,6695,2743364000,409763.1067961165,219000,281000,347000,496000,953000
equiv_simplify,6498,2717998175,418282.2676208064,194000,255000,328000,509000,1262724.9999999995
onepoint,1268,2447747800,1930400.47318612,954025,1154500,1446000,2041750,6184500.000000005
sko_forall,933,2294658999.999998,2459441.5862808125,986500,1227000,1759000,2459000,13139499.999999931
rare_rewrite_arith-elim-gt,284,2209831600,7781097.183098592,5718450,6291250,6697500,7545000,14983000
